ts,num
403,299
806,298
1209,299
1612,297
2015,294
2418,290
2821,290
3224,288
3627,288
4030,285
4433,283
4836,283
5239,282
5642,281
6045,278
6448,272
6851,271
7254,268
7657,268
8060,265
8463,265
8866,261
9269,262
9672,263
10075,260
10478,257
10881,258
11284,258
11687,255
12090,253
12493,255
12896,253
13299,252
13702,250
14105,251
14508,252
14911,251
15314,248
15717,244
16120,246
16523,245
16926,242
17329,241
17732,242
18135,239
18538,239
18941,241
19344,241
19747,240
20150,238
20553,237
20956,239
21359,237
21762,236
22165,232
22568,233
22971,232
23374,231
23777,230
24180,232
24583,229
24986,225
25389,222
25792,224
26195,222
26598,220
27001,220
27404,221
27807,218
28210,217
28613,218
29016,216
29419,216
29822,213
30225,212
30628,214
31031,212
31434,212
31837,212
32240,212
32643,211
33046,207
33449,209
33852,207
34255,204
34658,200
35061,199
35464,200
35867,199
36270,198
36673,198
37076,199
37479,196
37882,192
38285,193
38688,193
39091,190
39494,189
39897,189
40300,189
80006,147
120009,125
160012,114
200015,108
240018,106
280021,104
320024,105
360027,104
400030,102
440033,101
480036,102
520039,101
560042,99
600045,100
640048,101
680051,100
720054,99
760057,100
800060,101
840063,99
880066,98
920069,99
960072,100
1000075,99
1040078,98
1080081,99
1120084,100
1160087,99
1200090,98
1240093,99
1280096,100
1320099,99
1360102,98
1400105,99
1440108,100
1480111,99
1520114,98
1560117,99
1600120,100
1640123,99
1680126,98
1720129,99
1760132,100
1800135,99
1840138,98
1880141,99
1920144,100
1960147,99
2000150,98
2040153,99
2080156,100
2120159,99
2160162,98
2200165,99
2240168,100
2280171,99
2320174,98
2360177,99
2400180,100
2440183,99
2480186,98
2520189,99
2560192,100
2600195,99
2640198,98
2680201,99
2720204,100
2760207,99
2800210,98
2840213,99
2880216,100
2920219,99
2960222,98
3000225,99
3040228,100
3080231,99
3120234,98
3160237,99
3200240,100
3240243,99
3280246,98
3320249,99
3360252,100
3400255,99
3440258,98
3480261,99
3520264,100
3560267,99
3600270,98
3640273,99
3680276,100
3720279,99
3760282,98
3800285,99
3840288,100
3880291,99
3920294,98
3960297,99
4000300,100
