ts,num
403,200
806,200
1209,200
1612,200
2015,200
2418,200
2821,200
3224,200
3627,200
4030,200
4433,200
4836,200
5239,200
5642,200
6045,200
6448,200
6851,200
7254,200
7657,200
8060,199
8463,200
8866,199
9269,200
9672,200
10075,200
10478,200
10881,200
11284,200
11687,200
12090,200
12493,200
12896,200
13299,200
13702,200
14105,200
14508,200
14911,200
15314,200
15717,200
16120,200
16523,200
16926,200
17329,200
17732,200
18135,200
18538,200
18941,200
19344,200
19747,200
20150,200
20553,199
20956,200
21359,200
21762,200
22165,200
22568,200
22971,200
23374,200
23777,200
24180,200
24583,200
24986,200
25389,199
25792,200
26195,199
26598,198
27001,199
27404,200
27807,199
28210,199
28613,199
29016,199
29419,200
29822,200
30225,200
30628,200
31031,199
31434,200
31837,199
32240,200
32643,200
33046,198
33449,200
33852,199
34255,198
34658,198
35061,199
35464,199
35867,200
36270,200
36673,200
37076,200
37479,200
37882,199
38285,199
38688,200
39091,200
39494,200
39897,200
40300,199
80006,198
120009,199
160012,200
200015,197
240018,196
280021,198
320024,200
360027,199
400030,197
440033,198
480036,200
520039,198
560042,196
600045,198
640048,200
680051,198
720054,196
760057,198
800060,200
840063,198
880066,196
920069,198
960072,200
1000075,198
1040078,196
1080081,198
1120084,200
1160087,198
1200090,196
1240093,198
1280096,200
1320099,198
1360102,196
1400105,198
1440108,200
1480111,198
1520114,196
1560117,198
1600120,200
1640123,198
1680126,196
1720129,198
1760132,200
1800135,198
1840138,196
1880141,198
1920144,200
1960147,198
2000150,196
2040153,198
2080156,200
2120159,198
2160162,196
2200165,198
2240168,200
2280171,198
2320174,196
2360177,198
2400180,200
2440183,198
2480186,196
2520189,198
2560192,200
2600195,198
2640198,196
2680201,198
2720204,200
2760207,198
2800210,196
2840213,198
2880216,200
2920219,198
2960222,196
3000225,198
3040228,200
3080231,198
3120234,196
3160237,198
3200240,200
3240243,198
3280246,196
3320249,198
3360252,200
3400255,198
3440258,196
3480261,198
3520264,200
3560267,198
3600270,196
3640273,198
3680276,200
3720279,198
3760282,196
3800285,198
3840288,200
3880291,198
3920294,196
3960297,198
4000300,200
