ts,Dtree,nDtree,HK,HDT
916721318,1.101123583133443,0,6.831460597399319,6.741572957959854
917997376,1.3913042873345962,0,4.434782415879025,5.17391281852553
919273434,1.0962962881755831,0,7.35555550106996,7.074074021673526
920549492,0.9607842948865825,0,4.862745002691275,4.882352845444062
921825550,0.9464285545280615,0,5.249999906250002,5.1071427659438795
923101608,0.8387096503642048,0,4.419354696149848,2.9999999032258096
924377666,1.1269841090954904,0,5.111111029982365,4.920634842529606
925653724,1.0666665955555603,0,3.733333084444461,3.6666664222222387
926929782,2.13970586661981,0,7.448529356996108,7.5073528859753464
928205840,2.2727272598140495,0,8.585227223947573,8.176136317181044
929481898,2.1127819469444287,0,9.154135303931822,9.101503725182317
930757956,1.8755364726371826,0,8.32618022177605,8.600858332185158
932034014,2.575562692683078,0,8.395498365287787,8.794212190372308
933310072,1.9789227119931552,0,9.519906300890149,8.601873516154862
934586130,1.9113475109526685,0,7.6631205402017,7.535460966186308
935862188,1.5317073096014278,0,6.556097528994647,6.356097529970256
937138246,1.794871788297173,0,8.794871762656147,9.879120842933624
938414304,2.2408088194102778,0,9.44301468852387,8.786764689730212
939690362,3.0270270224819416,0,11.608108090678517,11.27177175484719
940966420,3.6445497543968015,0,8.952606613856382,10.149289075475618
942242478,2.4128065362223343,0,10.799727505722442,9.998637588557715
943518536,3.5922953393382095,0,12.746388422557963,11.876404475318774
944794594,3.0500863505179856,0,10.925734005309613,10.084628652703577
946070652,3.887300249043481,0,12.276703101533469,12.537426398202332
947346710,3.380252097289651,0,11.022058811951618,10.440126039453649
948622768,3.573322283700644,0,12.053024016526077,11.342999162101906
949898826,3.6770499296028176,0,13.463582220126623,13.023362339430435
951174884,4.605739512315347,0,13.4909492214168,12.696688736116252
952450942,3.543900183205222,0,12.220425132985017,12.358133081165374
953727000,4.600526313368144,0,13.188947361479501,12.483684203955955
955003058,3.5355429552832347,0,12.735281285331322,13.116877447397787
956279116,3.526037427369391,0,13.73921887154629,14.04190398126855
957555174,3.3217623483214234,0,13.785046722837096,13.865153531880217
958831232,3.6045048017209327,0,13.007618412385686,12.881417683709369
960107290,3.4732142842375793,0,13.734268701643593,12.90561223941088
961383348,3.213317958139718,0,14.398097430268638,14.898241563880589
962659406,3.359589040274073,0,13.927103714792784,13.914383558240122
963935464,3.2173462324750015,0,12.63510711380957,13.460953692653437
965211522,3.4332439669079777,0,14.449597851353996,14.446648789692588
966487580,3.5394588490587773,0,14.394870345435494,14.216741822374086
967763638,3.458021611916454,0,14.881753945369542,14.687655857296829
969039696,3.747954172609784,0,14.571428568021643,14.83773672788456
970315754,4.033690050726578,0,15.386841059178192,14.609195399403646
971591812,3.859941233328121,0,15.372771789349112,15.098139076376466
972867870,3.2770111068197556,0,15.171827664898716,15.432009421839108
974143928,3.3708920183397373,0,15.2754303579453,15.387715177961956
975419986,3.6519912875463607,0,14.834474173174474,14.531425013296293
976696044,3.619536175738,0,15.959495563112162,15.623276689577505
977972102,3.499200958150379,0,14.758290048989554,14.04494606191671
979248160,3.422566370840077,0,13.686086525642555,13.813913467597366
980524218,3.6531502063106274,0,14.84085458582061,15.208633090209585
981800276,3.39355488350583,0,15.025176230609228,14.677139976902891
983076334,3.395615055608146,0,15.334691498770917,14.648622426339033
984352392,3.4286677903155702,0,14.767453623142082,15.267116354929659
985628450,3.6358296616681627,0,14.826072766385042,16.695056287046
986904508,3.261552132218372,0,17.12929502115976,14.948311609160498
988180566,3.4286071513592637,0,16.17904475916741,16.183670915705967
989456624,3.6196824746977727,0,15.996641561571682,16.84001628161612
990732682,3.3126063879731045,0,16.211074395092513,16.928607187651085
992008740,3.468235783850423,0,15.613413870483917,15.384607371861632
993284798,4.229881566317965,0,14.507136347630254,15.355602791473489
994560856,4.065447979222422,0,14.382532156537454,12.950801170627216
995836914,3.639230063494183,0,14.708340968889395,14.998350134739074
997112972,3.8946814105854517,0,15.987537297527199,14.43812532658625
998389030,3.653607081624862,0,14.922207569236727,14.008664529288252
999665088,3.3699201735540782,0,14.63552249371634,15.331458632922448
1000941146,3.7513528133453256,0,15.502029218682084,15.59347943511993
1002217204,3.6359979885735547,0,15.874912014492216,15.074409249364061
1003493262,3.5711536696077015,0,16.415925958360127,15.686520661991521
