ts,Dtree,nDtree,HK,HDT
550,1.1006955793870295e-05,1.291521584458298e-05,1.9132590647685888e-05,1.2037539926819673e-05
1100,3.3840154005162275e-05,4.055209561412001e-05,2.055229192844583e-05,1.4890708732185434e-05
1650,5.883041334222198e-05,6.93515437713883e-05,2.213779227794955e-05,1.6218252047571006e-05
2200,0.000103031654016633,0.0001204268282227333,2.588063632495157e-05,2.1220085285648146e-05
2750,0.00012221287099940751,0.00014413040453997622,2.3015814134418588e-05,1.8623557677333452e-05
3300,0.00014816008450487664,0.00018476688321651164,2.299739058987559e-05,1.6140045320568748e-05
3850,1.6374017385741066e-06,1.1808492970495861e-06,1.1279143119173503e-05,6.851208673850561e-06
4400,1.6321637900119052e-06,1.1707234660831577e-06,1.1210495889065309e-05,6.997516404989328e-06
4950,1.7173784282224247e-06,1.2134090480328955e-06,1.1568592508083351e-05,7.20007628319238e-06
5500,1.6561925205347354e-06,1.1955603041309676e-06,1.1361166681180628e-05,6.9910436602973815e-06
6050,1.6920629909204693e-06,1.20709145321249e-06,1.147546125772015e-05,7.09675811027793e-06
6600,1.6907123615476121e-06,1.2278820651595511e-06,1.172762901090516e-05,7.090985206863633e-06
7150,1.6878217691592056e-06,1.231746842109715e-06,1.1735901033737312e-05,7.001245399343866e-06
7700,1.6613638213264025e-06,1.2113727324269448e-06,1.1505829649058078e-05,6.9188473239616284e-06
8250,1.6945893356483186e-06,1.21315296078756e-06,1.1670927024462304e-05,7.017940123473111e-06
8800,1.7325141924725855e-06,1.2181452730251726e-06,1.1736603203321355e-05,7.0730104962941735e-06
9350,1.6693743330176405e-06,1.218928510004578e-06,1.1485423472246333e-05,6.995298243362384e-06
9900,1.6430294403350924e-06,1.1906754643998695e-06,1.1347279894562795e-05,6.931824959848578e-06
10450,1.3315491400787777e-06,1.2149021538822616e-06,7.05343078887829e-06,6.272403160576767e-06
11000,1.2680075683967506e-06,1.2253778393424467e-06,6.095645203421922e-06,6.196770852537792e-06
