ts,Dtree,nDtree,HK,HDT
550,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0
2200,0.0,0.0,0.0,0.0
2750,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0
3850,1.1533670716721147e-05,7.1815105796692e-06,1.9154690482193228e-05,5.490033925089663e-06
4400,1.2339763224806978e-05,7.157474255692562e-06,1.8969767048681795e-05,5.37690881981071e-06
4950,1.195067055067158e-05,7.379138284730482e-06,1.948865560771077e-05,5.518225058910708e-06
5500,1.2390068771508353e-05,7.275916022164657e-06,1.920068538126995e-05,5.513878110872725e-06
6050,1.1780296227573049e-05,7.337432787482568e-06,1.9594075685680615e-05,5.73095963605644e-06
6600,1.272250544325218e-05,7.461335967014654e-06,1.97533049087726e-05,5.611425205976754e-06
7150,1.2564941435476543e-05,7.346270853348783e-06,1.9565259348676673e-05,5.688518341071903e-06
7700,1.1819370394641156e-05,7.3203382561042e-06,1.953497747508771e-05,5.614383769037056e-06
8250,1.292973439597446e-05,7.462189053185886e-06,1.9734972009430814e-05,5.844243410124552e-06
8800,1.1962779675357435e-05,7.449416017223327e-06,1.979113451669892e-05,5.769634392745831e-06
9350,1.230466376779208e-05,7.258247113473654e-06,1.9341946878711655e-05,5.4600194098656285e-06
9900,1.1528570879060967e-05,7.215319969735518e-06,1.906825993888439e-05,5.316308825135517e-06
10450,1.129044384529608e-05,7.163617597945783e-06,1.6220768708660898e-05,4.2663783181121944e-06
11000,1.1443943079893896e-05,7.3813035038449845e-06,1.5995301338211987e-05,4.155579825913705e-06
11550,1.12315922764328e-05,7.3470872157782516e-06,1.5754929023342273e-05,4.1349838392147785e-06
12100,1.1447825319142017e-05,7.41507066689988e-06,1.622475807646118e-05,4.172323788431582e-06
12650,1.112937832928383e-05,7.278214669110364e-06,1.5930118019483748e-05,4.064381757766403e-06
13200,1.1239438007530594e-05,7.389210670481952e-06,1.5797140054116028e-05,4.082945450479515e-06
13750,1.1281425811928804e-05,7.28339620915856e-06,1.5756528834415362e-05,4.126515021576262e-06
14300,1.1012771003670097e-05,7.275932584889688e-06,1.5567985043209102e-05,4.031207439727133e-06
14850,1.0957870309188127e-05,7.168229602166539e-06,1.570667207634774e-05,4.012085493639695e-06
15400,1.110797391572515e-05,7.280968635649795e-06,1.6391225892970913e-05,4.323341567563156e-06
15950,1.111797663932943e-05,7.320650778321568e-06,1.665744328726094e-05,4.340256326657216e-06
16500,1.1072460967192999e-05,7.3755966964348e-06,1.647809281161972e-05,4.351340410116114e-06
17050,1.1200143154057554e-05,7.325799907286436e-06,1.667352130123402e-05,4.425292717138443e-06
17600,1.1038328690669158e-05,7.216997884904924e-06,1.640918499863405e-05,4.3073560079477e-06
18150,1.11020248036881e-05,7.332379515950271e-06,1.6520914363603758e-05,4.434799853596666e-06
18700,1.119124690698951e-05,7.323668686736894e-06,1.6618057920876827e-05,4.399899890106908e-06
19250,1.1128684662960447e-05,7.254602480178124e-06,1.6460807204128502e-05,4.376646402287063e-06
19800,1.1360543012563306e-05,7.484814449945663e-06,1.678527908212495e-05,4.4813199974294976e-06
20350,1.141777434475649e-05,7.486727285938639e-06,1.7078434261699478e-05,4.6099348224465854e-06
20900,1.1068874324331344e-05,7.2407875406939126e-06,1.6465961226301248e-05,4.361122052943518e-06
21450,1.1408490725712112e-05,7.3966686591910286e-06,1.6787843182457622e-05,4.464192975593719e-06
22000,1.1302036668039022e-05,7.418632631728661e-06,1.693080130089397e-05,4.577252147468873e-06
22550,1.1443874368397239e-05,7.438310868837863e-06,1.681041090071809e-05,4.501213946834517e-06
23100,1.1287041501745437e-05,7.3067960852907374e-06,1.6583734319051743e-05,4.460629132245006e-06
23650,1.1501712488986388e-05,7.406526920128314e-06,1.6926075950150876e-05,4.463282131549095e-06
24200,1.1359147581229556e-05,7.467207283103022e-06,1.6818634234006263e-05,4.518440208677063e-06
24750,1.1509538059067449e-05,7.399078297560868e-06,1.6885570721307204e-05,4.620339785600046e-06
25300,1.1400815807637967e-05,7.400801667621016e-06,1.676404550988639e-05,4.50250541605854e-06
25850,1.183386502797604e-05,7.5573667261214294e-06,1.720519760688868e-05,4.569985053426094e-06
26400,1.1382604472963793e-05,7.34481618903475e-06,1.672075023462808e-05,4.498333173068623e-06
26950,1.1520738112396504e-05,7.412414598464635e-06,1.6759585771278424e-05,4.568837965656539e-06
27500,1.1191312575813038e-05,7.265014521214605e-06,1.6643765148645662e-05,4.38683793248725e-06
28050,1.14905180447591e-05,7.4789106851288e-06,1.6872086943359786e-05,4.728831481780448e-06
28600,1.1295680954730992e-05,7.267595405286271e-06,1.6464709980010462e-05,4.512526273327268e-06
29150,1.1229196396237107e-05,7.3786107381260035e-06,1.6831819572180702e-05,4.464011156030753e-06
29700,1.1475854635668664e-05,7.38253279670507e-06,1.6824941596344054e-05,4.558378472509005e-06
30250,1.1446828883379379e-05,7.42255088035181e-06,1.6996094473351174e-05,4.536811105799204e-06
30800,1.1367561374692313e-05,7.430074723090605e-06,1.6799717836106372e-05,4.561852728977595e-06
31350,1.1274356491639396e-05,7.3066903854720456e-06,1.651089044895813e-05,4.404015965399483e-06
31900,1.1472037853579852e-05,7.421938085983671e-06,1.6712603432168317e-05,4.536004691587965e-06
32450,1.1269343647972671e-05,7.312450932987637e-06,1.647259637036419e-05,4.51488721717279e-06
33000,1.1241248794912633e-05,7.356807074775218e-06,1.679544885987457e-05,4.558653027457331e-06
33550,1.1407688756449445e-05,7.386774627000959e-06,1.680310867041518e-05,4.627980070116578e-06
34100,1.1699370805985146e-05,7.577000249164652e-06,1.7103495834230383e-05,4.674887533009691e-06
34650,1.120762170065377e-05,7.241482354946393e-06,1.6429227377571698e-05,4.529849178642229e-06
35200,1.141979600261537e-05,7.4001398729864905e-06,1.6756612497554998e-05,4.534242057815443e-06
35750,1.127512885436962e-05,7.416234185104329e-06,1.6611068689035773e-05,4.576399590458185e-06
36300,1.1348272493911487e-05,7.598203394671923e-06,1.6738983381736913e-05,4.628501690122962e-06
36850,1.1194921106769703e-05,7.270541841220367e-06,1.6479946939482806e-05,4.4707272351989215e-06
37400,1.1219267280702962e-05,7.209821991681927e-06,1.6257666623617157e-05,4.417399626171949e-06
37950,1.1207652788835737e-05,7.184291106664427e-06,1.6497826692192622e-05,4.47193832493629e-06
38500,1.1079665257185699e-05,7.247492904361062e-06,1.6521696145391664e-05,4.384865248436731e-06
39050,1.112909186822326e-05,7.299428874073008e-06,1.6344473638195123e-05,4.419278172561665e-06
39600,1.1350081191109377e-05,7.446507115880093e-06,1.6588319495166696e-05,4.503176709124833e-06
40150,1.1631842644595696e-05,7.454567051166154e-06,1.699197593746207e-05,4.533199558627437e-06
40700,1.1516365050285669e-05,7.5106872520487585e-06,1.6903330460405606e-05,4.725281740560237e-06
41250,1.1644159755833425e-05,7.5124068121529885e-06,1.698665403757954e-05,4.686425561178287e-06
41800,1.1571388883436874e-05,7.520752626423019e-06,1.7129255766389413e-05,4.7153506406740505e-06
42350,1.1490254337601928e-05,7.422234468804442e-06,1.6840963228261158e-05,4.68179088209443e-06
42900,1.1567116044333098e-05,7.482752522969376e-06,1.6948121492786386e-05,4.6538452258498115e-06
43450,1.1466617979622577e-05,7.493859867371098e-06,1.679057936579925e-05,4.757870595373474e-06
44000,1.1387450614568491e-05,7.40108154063281e-06,1.696517033115177e-05,4.720392641086758e-06
44550,1.122760677150449e-05,7.233879931866794e-06,1.643365600153967e-05,4.4065775522195715e-06
45100,1.1459849037316049e-05,7.420738293823921e-06,1.666622523565145e-05,4.613197943858065e-06
45650,1.1387161772285473e-05,7.3837034850348935e-06,1.6678668498762902e-05,4.676959778616589e-06
46200,1.1429055597771045e-05,7.355079974133234e-06,1.6710692871565678e-05,4.47412923479521e-06
46750,1.1371483195149135e-05,7.396598624793012e-06,1.6758284697790527e-05,4.728641777725375e-06
