d freq
0 1
1 2
2 5
3 9
4 16
5 27
6 42
7 60
8 79
9 91
10 94
11 86
12 72
13 55
14 41
15 32
16 24
17 18
18 13
19 10
20 8
21 6
22 4
23 4
24 3
25 2
26 2
27 1
28 1
29 1
30 1
