ts,num
550,550
1100,1100
1650,1650
2200,2200
2750,2750
3300,3300
3850,1
4400,1
4950,1
5500,1
6050,1
6600,1
7150,1
7700,1
8250,1
8800,1
9350,1
9900,1
10450,1
11000,1
11550,1
12100,1
12650,1
13200,1
13750,1
14300,1
14850,1
15400,1
15950,1
16500,1
17050,1
17600,1
18150,1
18700,1
19250,1
19800,1
20350,1
20900,1
21450,1
22000,1
22550,1
23100,1
23650,1
24200,1
24750,1
25300,1
25850,1
26400,1
26950,1
27500,1
28050,1
28600,1
29150,1
29700,1
30250,1
30800,1
31350,1
31900,1
32450,1
33000,1
33550,1
34100,1
34650,1
35200,1
35750,1
36300,1
36850,1
37400,1
37950,1
38500,1
39050,1
39600,1
40150,1
40700,1
41250,1
41800,1
42350,1
42900,1
43450,1
44000,1
44550,1
45100,1
45650,1
46200,1
46750,1
47300,1
47850,1
48400,1
48950,1
49500,1
50050,1
50600,1
51150,1
51700,1
52250,1
52800,1
53350,1
53900,1
54450,1
55000,1
