ts,Dtree,nDtree,HK,HDT
550,0.6192773780057905,0.9062591450056061,0.10700450700824149,0.12006510100036394
1100,5.035963141999673,7.078983845000039,0.4522323410055833,0.5498511960031465
1650,18.07439344699378,24.813829442005954,1.0303449259954505,1.3350398589973338
2200,41.58682633299031,60.50321480099228,1.8955169839900918,2.5678348450019257
2750,82.65961562699522,117.21015469300619,3.2885941220010864,4.4561383399995975
3300,142.73371378300362,211.44994081099867,4.0496397920069285,5.470492231004755
3850,1.0450021363794804e-06,7.560010999441147e-07,7.880007615312934e-07,1.8739956431090832e-06
4400,3.7819991121068597e-06,7.24001438356936e-07,9.049981599673629e-07,1.901993528008461e-06
4950,1.0429939720779657e-06,6.829941412433982e-07,8.130009518936276e-07,9.690120350569487e-07
5500,6.709888111799955e-07,1.1090014595538378e-06,8.14005034044385e-07,1.091000740416348e-06
6050,7.839989848434925e-07,1.110005541704595e-06,1.1429947335273027e-06,1.3609969755634665e-06
6600,7.499911589547992e-07,7.149938028305769e-07,7.799972081556916e-07,9.530049283057451e-07
7150,8.429924491792917e-07,7.070048013702035e-07,8.170027285814285e-07,8.170027285814285e-07
7700,8.350034477189183e-07,8.630013326182961e-07,1.0730000212788582e-06,1.467997208237648e-06
8250,7.659982657060027e-07,7.040071068331599e-07,8.33999365568161e-07,1.0119983926415443e-06
8800,7.799972081556916e-07,7.750059012323618e-07,7.790076779201627e-07,1.5160039765760303e-06
9350,7.589987944811583e-07,9.020004654303193e-07,8.659990271553397e-07,9.020004654303193e-07
9900,8.010101737454534e-07,8.740025805309415e-07,7.929920684546232e-07,9.729992598295212e-07
10450,8.119968697428703e-07,9.499926818534732e-07,1.0050134733319283e-06,1.2839882401749492e-06
11000,1.177002559415996e-06,1.7630081856623292e-06,1.5909899957478046e-06,1.9180006347596645e-06
11550,8.329952834174037e-07,7.929920684546232e-07,7.899943739175797e-07,9.520008461549878e-07
12100,7.119961082935333e-07,7.549970177933574e-07,7.76999513618648e-07,9.179930202662945e-07
12650,1.1399970389902592e-06,8.509960025548935e-07,7.789931260049343e-07,9.499926818534732e-07
13200,9.189971024170518e-07,8.099887054413557e-07,9.759969543665648e-07,1.134001649916172e-06
13750,9.089999366551638e-07,9.1099354904145e-07,9.659997886046767e-07,1.205000444315374e-06
14300,7.210037438198924e-07,8.770002750679851e-07,1.2759992387145758e-06,9.409995982423425e-07
14850,9.2400296125561e-07,9.939976735040545e-07,9.790092008188367e-07,1.5950063243508339e-06
15400,8.500064723193645e-07,1.14399881567806e-06,8.689967216923833e-07,9.850045898929238e-07
15950,9.429932106286287e-07,1.033011358231306e-06,9.229988791048527e-07,1.1079973774030805e-06
16500,2.4040054995566607e-06,8.57995473779738e-07,9.560026228427887e-07,1.0450021363794804e-06
17050,8.060014806687832e-07,9.170034900307655e-07,7.990020094439387e-07,9.250070434063673e-07
17600,8.280039764940739e-07,8.119968697428703e-07,1.0160001693293452e-06,1.1160009307786822e-06
18150,8.019997039809823e-07,9.060022421181202e-07,8.549977792426944e-07,1.3859971659258008e-06
18700,9.870127541944385e-07,8.90999217517674e-07,1.0609946912154555e-06,1.1500087566673756e-06
19250,8.789938874542713e-07,7.740018190816045e-07,8.289935067296028e-07,1.0210060281679034e-06
19800,8.759961929172277e-07,9.229988791048527e-07,8.329952834174037e-07,1.014006556943059e-06
20350,7.710041245445609e-07,7.90998456068337e-07,7.430062396451831e-07,9.67003870755434e-07
20900,2.319997292943299e-06,7.590133463963866e-07,8.810020517557859e-07,9.950017556548119e-07
21450,7.070048013702035e-07,7.43995769880712e-07,7.729977369308472e-07,1.0759977158159018e-06
22000,6.720074452459812e-07,1.1369993444532156e-06,7.959897629916668e-07,8.47008777782321e-07
22550,7.359922165051103e-07,8.990027708932757e-07,8.33999365568161e-07,9.769864846020937e-07
23100,7.219932740554214e-07,8.799979696050286e-07,8.420029189437628e-07,1.1450028978288174e-06
23650,7.33998604118824e-07,8.379865903407335e-07,8.229981176555157e-07,1.0020012268796563e-06
24200,7.680064300075173e-07,7.659982657060027e-07,8.00006091594696e-07,1.000997144728899e-06
24750,7.600028766319156e-07,8.279894245788455e-07,8.429924491792917e-07,1.0180083336308599e-06
25300,1.1329975677654147e-06,9.860086720436811e-07,1.2300006346777081e-06,2.6070047169923782e-06
25850,8.060014806687832e-07,8.799979696050286e-07,8.24002199806273e-07,9.8699820227921e-07
26400,8.320057531818748e-07,7.850030669942498e-07,2.3579923436045647e-06,1.7040001694113016e-06
26950,8.450006134808064e-07,9.600043995305896e-07,8.899951353669167e-07,1.1550000635907054e-06
27500,7.840135367587209e-07,1.4160032151266932e-06,1.0709918569773436e-06,1.191991032101214e-06
