ts,Dtree,nDtree,HK,HDT
550,75900,150976,6857,6638
1100,303050,604451,13053,16002
1650,681450,1360426,20189,23255
2200,1211100,2418901,29217,33048
2750,1892000,3779876,37651,45677
3300,2724150,5443351,45018,53658
3850,1,1,2,1
4400,1,1,3,2
4950,1,1,3,2
5500,1,1,1,4
6050,1,1,3,2
6600,1,1,1,2
7150,1,1,1,1
7700,1,1,3,3
8250,1,1,3,1
8800,1,1,1,4
9350,1,1,3,2
9900,1,1,2,3
10450,1,1,1,2
11000,1,1,1,2
11550,1,1,1,3
12100,1,1,1,2
12650,1,1,1,3
13200,1,1,3,3
13750,1,1,2,3
14300,1,1,3,1
14850,1,1,1,1
15400,1,1,2,4
15950,1,1,1,3
16500,1,1,1,3
17050,1,1,1,1
17600,1,1,3,3
18150,1,1,1,1
18700,1,1,3,2
19250,1,1,1,3
19800,1,1,2,3
20350,1,1,1,1
20900,1,1,3,1
21450,1,1,2,2
22000,1,1,1,1
22550,1,1,3,2
23100,1,1,3,2
23650,1,1,2,4
24200,1,1,1,1
24750,1,1,1,3
25300,1,1,1,4
25850,1,1,3,2
26400,1,1,3,4
26950,1,1,1,4
27500,1,1,1,1
28050,1,1,1,1
28600,1,1,2,2
29150,1,1,1,2
29700,1,1,1,3
30250,1,1,2,2
30800,1,1,3,1
31350,1,1,1,3
31900,1,1,3,1
32450,1,1,1,4
33000,1,1,1,1
33550,1,1,2,1
34100,1,1,1,4
34650,1,1,1,3
35200,1,1,3,1
35750,1,1,1,2
36300,1,1,2,3
36850,1,1,1,2
37400,1,1,2,3
37950,1,1,3,2
38500,1,1,1,3
39050,1,1,3,3
39600,1,1,3,2
40150,1,1,1,1
40700,1,1,3,2
41250,1,1,2,4
41800,1,1,2,2
42350,1,1,3,2
42900,1,1,3,2
43450,1,1,1,4
44000,1,1,1,4
44550,1,1,3,1
45100,1,1,1,4
45650,1,1,3,2
46200,1,1,1,3
46750,1,1,1,2
47300,1,1,3,2
47850,1,1,3,3
48400,1,1,3,4
48950,1,1,1,1
49500,1,1,3,3
50050,1,1,3,4
50600,1,1,3,3
51150,1,1,1,4
51700,1,1,3,1
52250,1,1,2,1
52800,1,1,3,3
53350,1,1,1,3
53900,1,1,1,2
54450,1,1,1,3
55000,1,1,3,2
