ts,num
550,551
1100,1101
1650,1651
2200,2201
2750,2751
3300,3301
3850,2
4400,2
4950,2
5500,2
6050,2
6600,2
7150,2
7700,2
8250,2
8800,2
9350,2
9900,2
10450,2
11000,2
11550,2
12100,2
12650,2
13200,2
13750,2
14300,2
14850,2
15400,2
15950,2
16500,2
17050,2
17600,2
18150,2
18700,2
19250,2
19800,2
20350,2
20900,2
21450,2
22000,2
22550,2
23100,2
23650,2
24200,2
24750,2
25300,2
25850,2
26400,2
26950,2
27500,2
28050,2
28600,2
29150,2
29700,2
30250,2
30800,2
31350,2
31900,2
32450,2
33000,2
33550,2
34100,2
34650,2
35200,2
35750,2
36300,2
36850,2
37400,2
37950,2
38500,2
39050,2
39600,2
40150,2
40700,2
41250,2
41800,2
42350,2
42900,2
43450,2
44000,2
44550,2
45100,2
45650,2
46200,2
46750,2
47300,2
47850,2
48400,2
48950,2
49500,2
50050,2
50600,2
51150,2
51700,2
52250,2
52800,2
53350,2
53900,2
54450,2
55000,2
