d freq
2 1
3 2
4 7
5 14
6 24
7 43
8 70
9 98
10 143
11 185
12 235
13 271
14 293
15 308
16 298
17 270
18 238
19 218
20 174
21 135
22 99
23 68
24 44
25 24
26 14
27 7
28 2
