ts,Dtree,nDtree,HK,HDT
550,0.5534238440013723,0.798429293994559,0.0796174490096746,0.10134203400230035
1100,4.43971161499212,6.382915074005723,0.348942757002078,0.4574902070016833
1650,15.36457005100965,21.9683333060093,0.8890163949981797,1.118133208990912
2200,37.595564490999095,53.011312107002595,1.6888013270072406,2.0362431470130105
2750,76.42262175600627,107.40812435699627,2.7322815069928765,3.378205512999557
3300,133.05960852499993,188.01840408699354,4.05244791500445,5.033128078997834
3850,210.42877724599384,302.02158530599263,5.553015718003735,6.96630133499275
4400,317.2076613620011,489.48750828900666,7.220326522001415,9.17420333600603
4950,466.49841778801056,762.5961816109921,9.188141556995106,11.527972283001873
5500,665.874240870995,1150.2480858640047,11.527652616001433,14.363276321004378
6050,997.3307857010077,1691.583329770001,14.396240409012535,18.033944670009078
