d freq
0 3
1 5
2 10
3 16
4 19
5 23
6 28
7 35
8 48
9 62
10 81
11 100
12 116
13 125
14 127
15 117
16 105
17 88
18 70
19 52
20 36
21 25
22 16
23 10
24 6
25 3
26 2
27 1
