d freq
0 6
1 10
2 7
3 11
4 13
5 18
6 19
7 20
8 21
9 22
10 21
11 20
12 20
13 19
14 17
15 15
16 14
17 12
18 10
19 10
20 8
21 6
22 6
23 5
24 5
25 5
26 3
27 3
28 3
29 3
30 2
31 2
32 2
33 1
34 1
35 1
