d freq
0 4
1 9
2 14
3 18
4 23
5 27
6 32
7 43
8 57
9 77
10 99
11 118
12 128
13 132
14 127
15 112
16 94
17 72
18 54
19 37
20 24
21 15
22 9
23 4
24 2
25 1
