d freq
0 4
1 8
2 12
3 18
4 23
5 28
6 33
7 40
8 55
9 71
10 93
11 105
12 119
13 125
14 124
15 114
16 97
17 80
18 61
19 44
20 30
21 21
22 13
23 7
24 4
25 2
26 1
